Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
hell,39,2.564102564102564,97.43589743589743,565501978
hell,39,2.564102564102564,97.43589743589743,38900178
hell,39,2.564102564102564,97.43589743589743,2842797465
hell,39,2.564102564102564,97.43589743589743,2421964502
hell,39,2.564102564102564,97.43589743589743,224333112
hell,39,2.564102564102564,97.43589743589743,39106123
hell,39,2.564102564102564,97.43589743589743,30980826
hell,39,2.564102564102564,97.43589743589743,3141654004
hell,39,2.564102564102564,97.43589743589743,3141654004
hell,39,2.564102564102564,97.43589743589743,20415005
hell,39,2.564102564102564,97.43589743589743,20415005
hell,39,2.564102564102564,97.43589743589743,753498337
hell,39,2.564102564102564,97.43589743589743,565501978
hell,39,2.564102564102564,97.43589743589743,565501978
hell,39,2.564102564102564,97.43589743589743,565501978
hell,39,2.564102564102564,97.43589743589743,260277195
hell,39,2.564102564102564,97.43589743589743,753498337
hell,39,2.564102564102564,97.43589743589743,20415005
hell,39,2.564102564102564,97.43589743589743,2447898228
hell,39,2.564102564102564,97.43589743589743,193192630
hell,39,2.564102564102564,97.43589743589743,2447898228
hell,39,2.564102564102564,97.43589743589743,33831682
hell,39,2.564102564102564,97.43589743589743,92643660
hell,39,2.564102564102564,97.43589743589743,2447898228
hell,39,2.564102564102564,97.43589743589743,56838981
hell,39,2.564102564102564,97.43589743589743,553480874
cherry,1,0.0,100.0,2842797465
privileged,1,100.0,0.0,2447898228
hearts,1,100.0,0.0,92643660
hmmmmm,1,100.0,0.0,92643660
slavery,2,0.0,100.0,603741920
slavery,2,0.0,100.0,603741920
lindsey,3,0.0,100.0,753498337
lindsey,3,0.0,100.0,33831682
lindsey,3,0.0,100.0,33831682
jeffflake,1,0.0,100.0,56838981
ice,5,0.0,100.0,56838981
ice,5,0.0,100.0,553480874
ice,5,0.0,100.0,56838981
ice,5,0.0,100.0,863113304
ice,5,0.0,100.0,56838981
shirts,1,0.0,100.0,107801651
10s,1,0.0,100.0,2447898228
pbo,1,0.0,100.0,553480874
q,3,66.66666666666666,33.33333333333333,20415005
q,3,66.66666666666666,33.33333333333333,20415005
q,3,66.66666666666666,33.33333333333333,3311276608
period,4,25.0,75.0,177584156
period,4,25.0,75.0,553480874
period,4,25.0,75.0,33831682
period,4,25.0,75.0,33831682
nice,1,100.0,0.0,33831682
essence,1,0.0,100.0,193192630
tie,1,0.0,100.0,2447898228
city,8,62.5,37.5,80605638
city,8,62.5,37.5,553480874
city,8,62.5,37.5,553480874
city,8,62.5,37.5,80605638
city,8,62.5,37.5,80605638
city,8,62.5,37.5,2447898228
city,8,62.5,37.5,34955929
city,8,62.5,37.5,34955929
lobbyists,3,33.33333333333333,66.66666666666666,56838981
lobbyists,3,33.33333333333333,66.66666666666666,457123526
lobbyists,3,33.33333333333333,66.66666666666666,457123526
trader,1,100.0,0.0,80605638
mine,1,100.0,0.0,20415005
cesspool,1,0.0,100.0,56838981
votinglessons,1,0.0,100.0,457123526
fees,2,0.0,100.0,56838981
fees,2,0.0,100.0,56838981
uk,3,33.33333333333333,66.66666666666666,3332543943
uk,3,33.33333333333333,66.66666666666666,92643660
uk,3,33.33333333333333,66.66666666666666,2447898228
overs,1,0.0,100.0,56838981
lindseygrahamsc,2,0.0,100.0,3358621409
lindseygrahamsc,2,0.0,100.0,2842797465
comercials,1,100.0,0.0,567649661
shape,1,0.0,100.0,3311276608
grief,5,0.0,100.0,56838981
grief,5,0.0,100.0,56838981
grief,5,0.0,100.0,56838981
grief,5,0.0,100.0,553480874
grief,5,0.0,100.0,56838981
cherished,1,100.0,0.0,34955929
pair,4,50.0,50.0,16579411
pair,4,50.0,50.0,260277195
pair,4,50.0,50.0,2447898228
pair,4,50.0,50.0,92643660
weasels,1,0.0,100.0,3311276608
feather,1,100.0,0.0,193192630
nancy,1,0.0,100.0,56838981
americas,2,50.0,50.0,3000593912
americas,2,50.0,50.0,1616176478
barry,1,0.0,100.0,16579411
jan,1,0.0,100.0,56838981
wisconsin,1,100.0,0.0,56838981
rates,2,0.0,100.0,16579411
rates,2,0.0,100.0,92643660
scottwalker,1,0.0,100.0,16579411
barrybonehead,2,0.0,100.0,16579411
barrybonehead,2,0.0,100.0,16579411
mrctv,2,100.0,0.0,565501978
mrctv,2,100.0,0.0,565501978
isis,20,0.0,100.0,543787955
isis,20,0.0,100.0,177584156
isis,20,0.0,100.0,780291397
isis,20,0.0,100.0,2869158160
isis,20,0.0,100.0,753498337
isis,20,0.0,100.0,23795703
isis,20,0.0,100.0,20415005
isis,20,0.0,100.0,753498337
isis,20,0.0,100.0,20415005
isis,20,0.0,100.0,20415005
isis,20,0.0,100.0,457123526
isis,20,0.0,100.0,23795703
isis,20,0.0,100.0,30980826
isis,20,0.0,100.0,1292620070
isis,20,0.0,100.0,1292620070
isis,20,0.0,100.0,457123526
isis,20,0.0,100.0,863113304
isis,20,0.0,100.0,20415005
isis,20,0.0,100.0,2447898228
isis,20,0.0,100.0,2447898228
director,2,0.0,100.0,56838981
director,2,0.0,100.0,16579411
series,1,0.0,100.0,1659062558
pay,5,0.0,100.0,2502484436
pay,5,0.0,100.0,3311276608
pay,5,0.0,100.0,92643660
pay,5,0.0,100.0,56838981
pay,5,0.0,100.0,56838981
chemicals,1,100.0,0.0,457123526
claims,3,0.0,100.0,304185897
claims,3,0.0,100.0,92643660
claims,3,0.0,100.0,304185897
wi,1,0.0,100.0,3311276608
employee,3,0.0,100.0,2502484436
employee,3,0.0,100.0,565501978
employee,3,0.0,100.0,20415005
bridge,1,100.0,0.0,2608084976
empire,1,100.0,0.0,80605638
size,4,0.0,100.0,27944341
size,4,0.0,100.0,2447898228
size,4,0.0,100.0,33831682
size,4,0.0,100.0,33831682
dog,2,0.0,100.0,260277195
dog,2,0.0,100.0,863113304
corps,1,0.0,100.0,20415005
alien,2,0.0,100.0,753498337
